country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Kuwait,Asia,203055,1141.0,188167.0,13747.0,181.0,47071,265.0,1867338.0,432878.0,4313777
Kyrgyzstan,Asia,86640,1476.0,83666.0,1498.0,16.0,13132,224.0,774559.0,117397.0,6597767
Laos,Asia,47,,42.0,5.0,,6,,119288.0,16235.0,7347794
Latvia,Europe,91636,1726.0,81858.0,8052.0,84.0,48957,922.0,1617179.0,863984.0,1871769
Lebanon,Asia,401826,5134.0,314783.0,81909.0,932.0,59054,755.0,3180572.0,467432.0,6804352
Lesotho,Africa,10525,309.0,3922.0,6294.0,,4886,143.0,62593.0,29060.0,2153905
Liberia,Africa,2026,85.0,1898.0,43.0,2.0,394,17.0,76815.0,14949.0,5138636
Libya,Africa,141598,2330.0,128928.0,10340.0,,20417,336.0,767280.0,110635.0,6935250
Liechtenstein,Europe,2594,55.0,2519.0,20.0,1.0,67900,1440.0,28293.0,740596.0,38203
Lithuania,Europe,203386,3351.0,189479.0,10556.0,148.0,75441,1243.0,2190057.0,812342.0,2695978
Luxembourg,Europe,56822,668.0,53266.0,2888.0,21.0,89775,1055.0,2194489.0,3467136.0,632940
Macedonia,Europe,108350,3228.0,95822.0,9300.0,124.0,52008,1549.0,548210.0,263143.0,2083315
Madagascar,Africa,20155,300.0,19543.0,312.0,23.0,715,11.0,122057.0,4332.0,28175252
Malawi,Africa,32528,1074.0,23691.0,7763.0,69.0,1671,55.0,204623.0,10512.0,19466178
Malaysia,Asia,317717,1191.0,298516.0,18010.0,151.0,9731,36.0,6642173.0,203436.0,32649965
Maldives,Asia,21034,64.0,18428.0,2542.0,179.0,38450,117.0,559713.0,1023153.0,547047
Mali,Africa,8613,358.0,6450.0,1805.0,,417,17.0,157586.0,7632.0,20646938
Malta,Europe,25357,337.0,21838.0,3182.0,18.0,57323,762.0,737897.0,1668122.0,442352
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59464
Martinique,North America,6928,47.0,98.0,6783.0,3.0,18472,125.0,108633.0,289639.0,375064
Mauritania,Africa,17365,442.0,16715.0,208.0,14.0,3669,93.0,181628.0,38377.0,4732767
Mauritius,Africa,641,10.0,588.0,43.0,,503,8.0,289552.0,227417.0,1273221
Mayotte,Africa,18413,129.0,2964.0,15320.0,24.0,66402,465.0,143569.0,517746.0,277296
Mexico,North America,2137884,191789.0,1681336.0,264759.0,4798.0,16463,1477.0,5656885.0,43561.0,129861409
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,115850
Moldova,Europe,196475,4150.0,173141.0,19184.0,331.0,48783,1030.0,748683.0,185893.0,4027499
Monaco,Europe,2048,26.0,1869.0,153.0,4.0,51936,659.0,51953.0,1317501.0,39433
Mongolia,Asia,3481,3.0,2797.0,681.0,7.0,1050,,1946136.0,587179.0,3314382
Montenegro,Europe,80803,1092.0,70648.0,9063.0,69.0,128642,1739.0,296858.0,472613.0,628121
Montserrat,North America,20,1.0,14.0,5.0,,4005,200.0,947.0,189628.0,4994
Morocco,Africa,486833,8695.0,473208.0,4930.0,272.0,13083,234.0,5743512.0,154353.0,37210287
Mozambique,Africa,62882,700.0,47729.0,14453.0,,1974,22.0,443786.0,13933.0,31850349
